Date,IntexAnnual,IntexMonthly,BloombergAnnual,BloombergMonthly,Prepay,Partial Prepay Vector,Draw,LTV,Percent Delinquent,Period,Fixed swap Rate
10/20/2015,0.01312,0.00444,0.0123952,0.0047052,0,0,0,0,0,1,0.85%
11/20/2015,0.01312,0.00444,0.0123952,0.0047052,0.005454545,0,0.00782842,0.15,0,2,1.02%
12/20/2015,0.01312,0.00444,0.0123952,0.0047052,0.010909091,0,0.006924383,0.16,0.0001,3,1.13%
1/20/2016,0.01312,0.00444,0.0123952,0.0047052,0.016363636,0,0.006326679,0.17,0.0002,4,1.24%
2/20/2016,0.01323,0.0045,0.0123952,0.0047052,0.021818182,0,0.005732913,0.18,0.0003,5,1.33%
3/20/2016,0.01323,0.0045,0.0123952,0.0047052,0.027272727,0,0.005143013,0.19,0.0004,6,1.42%
4/20/2016,0.01323,0.0045,0.0123952,0.0047052,0.032727273,0,0.004996135,0.2,0.0005,7,1.50%
5/20/2016,0.01323,0.0045,0.0122898,0.0043978,0.038181818,0,0.004849504,0.21,0.0006,8,1.58%
6/20/2016,0.01323,0.0045,0.0123745,0.0046072,0.043636364,0,0.004703102,0.22,0.0007,9,1.64%
7/20/2016,0.01286,0.00522,0.0124713,0.0048389,0.049090909,0,0.004556936,0.23,0.0008,10,1.71%
8/20/2016,0.01306,0.0061,0.0125821,0.0051546,0.054545455,0,0.004411014,0.24,0.0009,,
9/20/2016,0.01329,0.00626,0.0127027,0.005525,0.06,0,0.004265319,0.25,0.001,,
10/20/2016,0.01347,0.00665,0.0128277,0.0058499,0.062916667,0,0.004119858,0.26,0.0011,,
11/20/2016,0.01365,0.00683,0.0129641,0.0060949,0.065833333,0,0.003974638,0.27,0.0012,,
12/20/2016,0.01391,0.00736,0.0131021,0.0063893,0.06875,0,0.003829643,0.28,0.0013,,
1/20/2017,0.01416,0.00772,0.0132497,0.0066624,0.071666667,0,0.003684879,0.29,0.0014,,
2/20/2017,0.01443,0.00815,0.0134011,0.0068818,0.074583333,0,0.003540356,0.3,0.0015,,
3/20/2017,0.01466,0.00836,0.0135401,0.0070456,0.0775,0,0.003396053,0.31,0.0016,,
