Date,Annual,Monthly,Prepay,Draw
10/20/15,1.214%,0.434%,0.000%,0.000%
11/20/15,1.214%,0.434%,0.545%,0.783%
12/20/15,1.214%,0.434%,1.091%,0.692%
01/20/16,1.214%,0.434%,1.636%,0.633%
02/20/16,1.214%,0.434%,2.182%,0.573%
03/20/16,1.214%,0.434%,2.727%,0.514%
04/20/16,1.214%,0.434%,3.273%,0.500%
05/20/16,1.157%,0.448%,3.818%,0.485%
06/20/16,1.171%,0.474%,4.364%,0.470%
07/20/16,1.180%,0.514%,4.909%,0.456%
08/20/16,1.189%,0.555%,5.455%,0.441%
09/20/16,1.200%,0.573%,6.000%,0.427%
10/20/16,1.218%,0.602%,6.292%,0.412%
11/20/16,1.238%,0.614%,6.583%,0.397%
12/20/16,1.256%,0.657%,6.875%,0.383%
01/20/17,1.275%,0.684%,7.167%,0.368%
02/20/17,1.295%,0.695%,7.458%,0.354%
03/20/17,1.302%,0.701%,7.750%,0.340%
04/20/17,1.310%,0.728%,8.042%,0.328%
05/20/17,1.324%,0.727%,8.333%,0.316%
06/20/17,1.344%,0.727%,8.625%,0.304%
07/20/17,1.369%,0.749%,8.917%,0.292%
08/20/17,1.397%,0.749%,9.208%,0.280%
09/20/17,1.428%,0.749%,9.500%,0.268%
10/20/17,1.461%,0.828%,9.667%,0.256%
11/20/17,1.495%,0.828%,9.833%,0.244%
12/20/17,1.529%,0.828%,10.000%,0.232%
01/20/18,1.562%,0.913%,10.167%,0.220%
02/20/18,1.593%,0.913%,10.333%,0.208%
03/20/18,1.621%,0.913%,10.500%,0.197%
04/20/18,1.645%,0.988%,10.667%,0.185%
05/20/18,1.665%,0.988%,10.833%,0.173%
06/20/18,1.681%,0.988%,11.000%,0.161%
07/20/18,1.693%,1.061%,11.167%,0.149%
08/20/18,1.703%,1.061%,11.333%,0.138%
09/20/18,1.710%,1.061%,11.500%,0.126%
10/20/18,1.716%,1.136%,11.667%,0.121%
11/20/18,1.721%,1.136%,11.833%,0.115%
12/20/18,1.726%,1.136%,12.000%,0.110%
01/20/19,1.731%,1.191%,12.167%,0.105%
02/20/19,1.738%,1.191%,12.333%,0.100%
03/20/19,1.746%,1.191%,12.500%,0.094%
